Name, Image URL, Author URL, License
    catheter.png, https://free-images.com/display/urinary_catheters_05.html, Wikimedia, CC0
    centrifuge.png, https://pixabay.com/photos/centrifuge-doctor-3291253/, Alberto2018, CC0
    scalpel.png, https://pixabay.com/vectors/scalpel-tool-green-grey-surgery-40318/, Clker-Free-Vector-Images, CC0
    hearing-aid.png, https://pixabay.com/photos/hand-hearing-aid-deafness-listen-287292/, kalhh, CC0
    oximeter.png, https://free-images.com/display/pulox_pulse_oximeter.html, Wikimedia, CC0
    microscope.png, https://pixabay.com/vectors/microscope-science-magnify-149816/, OpenClipart-Vectors, CC0
    glucose-meter.png, https://free-images.com/display/device_to_check_for_1.html, Wikimedia, CC0
    funnel.png, https://pixabay.com/vectors/funnel-blue-flow-cone-liquid-38036/, Clker-Free-Vector-Images, CC0
    beaker.png, https://pixabay.com/vectors/beaker-chemistry-liquid-blue-37673/, Clker-Free-Vector-Images, CC0
    suture.png, https://free-images.com/display/polyglycolic_acid_suture_pga.html, WikimediaImages, public domain
    dental-drill, https://free-images.com/display/dental_drill_bearings_new.html, WikimediaImages, CC0
    mouth-mirror.png, https://pixabay.com/photos/alveolar-mirror-dental-2650334/, NakWon, CC0
    dental-probe. png, https://free-images.com/display/dental_probe_png.html, Wpclipart, public domain
    x-ray-machine.png, https://pixabay.com/photos/x-ray-machine-x-ray-medical-527618/, jaytaix, CC0

  advanced:
    autoclave.png, https://free-images.com/display/autoclave_4210.html, Wikimedia, public domain
    defibrillator.png, https://pixabay.com/photos/semi-automatic-aed-defibrillator-1322250/, aedwallcabinets, CC0
    cannula.png, https://free-images.com/display/intravenous_cannula_03.html, Wikimedia, CC0
    dialyser.png, https://free-images.com/display/dialysegerat_5008.html, Wikimedia, public domain
    ecg.png, https://pixabay.com/photos/equipment-hospital-ecg-3089883/, Bokskapet, CC0
    ultrasound.png, https://pixabay.com/photos/hospital-clinic-medical-health-699417/, falco, CC0
    ophthalmoscope.png, https://free-images.com/display/ophthalmoscope_otoscope08.html, Wikimedia, public domain
    otoscope.png, https://free-images.com/display/ophthalmoscope_otoscope08.html, Wikimedia, public domain
    ventilator.png, https://free-images.com/display/vip_bird2.html, Wikimedia, public domain
    proctoscope.png, https://free-images.com/display/anoscope_proctoscope_rectoscope_it.html, Wikimedia, public domain
    rectoscope.png, https://free-images.com/display/anoscope_proctoscope_rectoscope_it.html, Wikimedia, public domain
    sphygmomanometer.png, https://pixabay.com/photos/sphygmomanometer-blood-pressure-915652/, soc7, CC0
    mri.png, https://pixabay.com/photos/mri-magnetic-resonance-imaging-2813899/, jarmoluk, CC0
    intrauterine-device.png, https://free-images.com/display/multiload_cu_250.html, Wikimedia, public domain
    pacemaker.png, https://pixabay.com/photos/cardiac-pacemaker-device-technology-795105/, falco, CC0

mechanical and automobile:
  basic:
    hammer.png, https://pixabay.com/vectors/hammer-tool-metal-hit-break-33617/, Clker-Free-Vector-Images, CC0
    engine.png, https://pixabay.com/photos/car-engine-motor-engine-vehicle-1738366/, paulbr75, CC0
    spanner.png, https://pixabay.com/vectors/spanner-wrench-tool-hardware-metal-33816/, Clker-Free-Vector-Images, CC0
    nut.png, https://pixabay.com/vectors/nut-engineering-fasteners-151716/, OpenClipart-Vectors, CC0
    screwdriver.png, https://pixabay.com/vectors/screwdriver-starhead-driver-tighten-33634/, Clker-Free-Vector-Images, CC0
    plier.png, https://pixabay.com/vectors/pliers-tools-forceps-tongs-pincers-148861/, OpenClipart-Vectors, CC0
    crowbar.png, https://pixabay.com/vectors/crowbar-jemmy-pry-prybar-pinch-bar-153511/, OpenClipart-Vectors, CC0
    power-drill.png, https://pixabay.com/vectors/power-drill-drill-hammer-drill-154903/, OpenClipart-Vectors, CC0
    pulley.png, https://pixabay.com/photos/role-deflection-pulley-elevator-2698100/, Momentmal, CC0
    saw.png, https://pixabay.com/vectors/saw-wood-cut-tools-hand-tool-24260/, Clker-Free-Vector-Images, CC0
    mallet.png, https://pixabay.com/vectors/mallet-wooden-tool-hammer-gavel-117187/, OpenClipart-Vectors, CC0
    axle.png, https://free-images.com/display/axle_psf_png.html, Wikimedia, public domain
    battery.png, https://pixabay.com/photos/battery-motorcycle-battery-2870614/, Capri23auto, CC0
    headlight.png, https://pixabay.com/photos/headlamp-lincoln-navigator-white-2770367/, ArtisticOperations, CC0
    taillight.png, https://pixabay.com/photos/brake-light-spotlight-bmw-333979/, goiwara, CC0
    screw.png, https://pixabay.com/photos/cross-screw-woodscrew-metal-iron-273655/, Silberfuchs, CC0
    wiper.png, https://pixabay.com/vectors/wiper-windscreen-wiper-157131/, OpenClipart-Vectors, CC0

  intermediate:
    blowtorch.png, https://free-images.com/display/aa_propaneblowlamp_00.html, Wikimedia, public domain
    ratchet.png, https://pixabay.com/vectors/ratchets-repair-spanners-automotive-153098/, OpenClipart-Vectors, CC0
    jackscrew.png, https://free-images.com/display/jackscrew.html, Wikimedia, public domain
    fuel-gauge.png, https://pixabay.com/vectors/fuel-meter-meter-indication-end-311685/, Clker-Free-Vector-Images, CC0
    cogwheel.png, https://pixabay.com/vectors/cogwheel-gear-gearwheel-cog-145804/, OpenClipart-Vectors, CC0
    jackhammer.png, https://pixabay.com/vectors/jackhammer-air-hammer-rock-hammer-156668/, OpenClipart-Vectors, CC0
    speedometer.png, https://pixabay.com/vectors/speedometer-kilometers-dashboard-309118/, Clker-Free-Vector-Images, CC0
    odometer.png, https://free-images.com/display/r129_facelift_difference3.html, Wikimedia, public domain
    steering-wheel.png, https://pixabay.com/vectors/car-driving-wheel-steering-wheel-160115/, OpenClipart-Vectors, CC0
    handbrake.png, https://free-images.com/display/parkingbrakehandle.html, Wikimedia, public domain
    exhaust-pipe.png, https://pixabay.com/photos/car-exhaust-pipe-ecology-2970171/, kaunish-sar, CC0
    gear.png, https://pixabay.com/photos/auto-the-gear-lever-2702297/, ElvisCZ, CC0
    chisel.png, https://pixabay.com/vectors/gouge-chisel-wood-carpenter-tool-29753/, Clker-Free-Vector-Images, CC0
    wheel-cover.png, https://pixabay.com/photos/hub-cap-wheel-trim-plate-wheel-cover-100454/, Hans, CC0
    spirit-level.png, https://pixabay.com/vectors/construction-jims-card-site-1296138/, OpenClipart-Vectors, CC0


  advanced:
    conveyor-belt.png, https://pixabay.com/vectors/conveyor-belt-rolling-moving-38245/, Clker-Free-Vector-Images, CC0
    spark-plug.png, https://pixabay.com/vectors/spark-plug-sparking-plub-32083/, Clker-Free-Vector-Images, CC0
    piston.png, https://pixabay.com/illustrations/piston-engines-motor-motorcycle-3614177/, tagechos, CC0
    crankshaft.png, https://free-images.com/display/slnsw_9865_closeup_six.html, Wikimedia, public domain
    connecting-rod.png, https://pixabay.com/photos/technology-industry-mechanical-3536350/, RonaldPlett, CC0
    camshaft.png, https://free-images.com/display/camshaft.html, Wikimedia, public domain
    shock-absorber.png, https://pixabay.com/illustrations/shock-absorber-hydraulic-mechanical-3605971/, tagechos, CC0
    lathe-machine.png, https://pixabay.com/vectors/lathe-machine-wood-tool-carpenter-29284/, Clker-Free-Vector-Images, CC0
    milling-machine.png, https://pixabay.com/photos/milling-machining-industry-1151358/, gefrorene_wand, CC0
    ball-bearing.png, https://pixabay.com/vectors/bearing-ball-bearing-metal-round-1293386/, OpenClipart-Vectors, CC0
    carburetor.png, https://pixabay.com/photos/carburetor-motorcycle-carburetor-2701475/, Capri23auto, CC0
    radiator.png, https://pixabay.com/illustrations/radiator-heating-house-apartment-3324048/, Painter06, CC0
    tachometer.png, https://pixabay.com/photos/dashboard-design-dial-gauge-1866466/, Pexels, CC0
